Symbol,Company Name,5 Day Chg,4 Week Chg,Vs. S&P 500 4 Weeks,Vs. S&P 500 13 Weeks,Vs. S&P 500 52 Weeks,Beta
TBLMY,Tiger Brands Ltd (ADR),0.00%,9.00%,0.00%,0.00%,0.00%,
TTSH,Tile Shop Holdings Inc,18.73%,41.00%,26.74%,-18.55%,-40.90%,0.59
TLYS,Tilly's Inc,-2.63%,-1.00%,-10.85%,-12.08%,-44.73%,1.15
TLRY,Tilray Inc,4.64%,10.00%,13.85%,-6.53%,-71.07%,1.58
TIMB,Tim SA (ADR),9.90%,6.00%,-4.65%,-6.97%,22.64%,0.7
TSBK,"Timberland Bancorp, Inc.",-0.19%,7.00%,-4.21%,-6.64%,-7.28%,0.13
TLRS,Timberline Resources Corp,-9.95%,25.00%,8.21%,-9.50%,-8.37%,
TKR,Timken Co,4.67%,22.00%,12.22%,8.33%,-8.05%,1.14
TMST,Timkensteel Corp,0.29%,-1.00%,-12.41%,-10.56%,6.82%,1.58
TMNA,Tingo Inc,-19.35%,35.00%,10.29%,-62.31%,-82.44%,
TIOA,Tio Tech A,0.20%,1.00%,-9.24%,-5.96%,6.68%,-0.03
TIPT,Tiptree Inc,6.93%,11.00%,-1.97%,10.11%,21.07%,0.8
TSIB,Tishman Speyer Innovation Corp II,-0.10%,0.00%,-9.33%,-5.96%,5.70%,0
TWI,Titan International Inc,4.99%,8.00%,0.14%,-6.23%,76.71%,1.61
TITN,Titan Machinery Inc.,0.71%,28.00%,14.79%,25.10%,8.99%,1.13
TTNN,Titan NRG Inc,7.98%,26.00%,-11.39%,13.29%,35.17%,
TTNP,"Titan Pharmaceuticals, Inc.",-2.99%,5.00%,-0.52%,133.67%,-37.73%,1.15
TIVC,Tivic Health Systems Inc,-24.73%,-8.00%,-5.60%,22.45%,0.00%,0.64
TLSA,Tiziana Life Sciences Ltd - ADR,-2.55%,2.00%,-18.09%,-9.41%,-81.17%,0.12
TJX,TJX Companies Inc,-0.30%,4.00%,-3.66%,7.13%,-7.01%,0.91
USCT,TKB Critical Technologies 1,0.10%,0.00%,-9.43%,-5.97%,0.00%,0
TLGA,TLG Acquisition One Corp,-0.10%,0.00%,-9.52%,-6.06%,7.23%,0.01
TLGY,TLGY Acquisition Corp,-0.25%,0.00%,-9.48%,-6.30%,0.00%,0
TMC,TMC the metals company Inc,-1.28%,4.00%,-11.73%,-32.10%,-90.97%,0.77
TOST,Toast Inc,10.54%,32.00%,15.28%,36.07%,0.00%,2.1
TOMDF,Todos Medical Ltd,57.37%,152.00%,124.99%,113.33%,36.99%,
TOFB,Tofutti Brands Inc.,-5.26%,-8.00%,-21.86%,-3.86%,-39.20%,
TKOMY,Tokio Marine Holdings Inc (ADR),-4.97%,-2.00%,-13.08%,0.90%,19.13%,
TOL,Toll Brothers Inc,3.40%,2.00%,-8.20%,3.65%,-11.49%,1.31
TMBXF,Tombstone Exploration Corp.,48.57%,4.00%,-6.45%,-44.77%,-63.95%,
TOMZ,TOMI Environmental Solutions Inc,-2.88%,53.00%,30.85%,57.31%,-53.52%,0.76
TMP,Tompkins Financial Corporation,1.21%,4.00%,-2.82%,-2.20%,1.43%,0.58
TMRAY,Tomra Systems ASA - ADR,0.00%,37.00%,0.00%,0.00%,0.00%,
TNXP,Tonix Pharmaceuticals Holding Corp,-20.34%,10.00%,-5.69%,-64.09%,-94.02%,17.02
TNGL,Tonogold Resources Inc,0.00%,25.00%,0.00%,0.00%,0.00%,
TR,"Tootsie Roll Industries, Inc.",-4.41%,-3.00%,-12.73%,0.82%,5.26%,0.34
TOP,TOP Financial Group Ltd,33.51%,-60.00%,-66.08%,0.00%,0.00%,
TOPS,TOP SHIPS Inc,7.99%,8.00%,-3.35%,-44.24%,-68.90%,0.4
BLD^C12,TopBuild Corp,-2.35%,12.00%,0.82%,0.88%,-4.75%,1.34
TOPPY,Toppan Inc - ADR,0.00%,3.00%,0.00%,0.00%,0.00%,
TORM,TOR Minerals International Inc,36.59%,22.00%,9.93%,-3.07%,29.41%,
TTC,Toro Co,1.83%,10.00%,-0.36%,6.79%,-19.28%,0.87
TD,Toronto-Dominion Bank,0.94%,10.00%,-0.67%,-8.80%,1.84%,0.67
CURV,Torrid Holdings Inc,41.61%,45.00%,28.76%,7.42%,-78.16%,1.51
TRTK,TORtec Group Corp,0.00%,0.00%,-9.70%,-37.07%,-14.85%,
NDP,Tortoise Energy Independence Fund Inc,0.00%,12.00%,0.00%,0.00%,0.00%,0.67
TYG,Tortoise Energy Infrastructure Corp.,2.74%,17.00%,5.46%,3.22%,32.62%,0.75
NTG,Tortoise Midstream Energy Fund Inc,1.30%,16.00%,4.58%,-1.50%,36.17%,0.8
TPZ,Tortoise Power & Energy Infrstrct Fd Inc,0.00%,6.00%,0.00%,0.00%,0.00%,0.5
TRTL,TortoiseEcofin Acquisition III Corp,0.10%,0.00%,-9.42%,-6.34%,0.00%,-0.01
TOSYY,Toshiba Corp (USA),-4.39%,1.00%,-10.01%,-12.60%,-5.26%,
TTE,TotalEnergies SE (ADR),6.48%,9.00%,-3.32%,-6.76%,25.00%,0.69
TGNT,Totaligent Inc,-14.29%,-10.00%,-18.73%,12.16%,-55.89%,
TCNT,Toucan Interactive Corp,0.00%,0.00%,-9.70%,-5.59%,-47.31%,
TMAK,Touchmark Bancshares Inc,0.00%,0.00%,-9.29%,-7.04%,26.00%,
TSBA,Touchstone Bank,2.27%,3.00%,-6.80%,-9.74%,-0.46%,
TBLT,Toughbuilt Industries Inc,-15.23%,172.00%,170.90%,-30.93%,-93.04%,2.03
TSEM,TOWER SEMICONDUCTOR LTD,-3.08%,3.00%,-11.65%,-10.98%,39.18%,0.51
TCNB,Town Center Bank,-1.30%,-5.00%,-20.39%,-8.93%,6.79%,
TOWN,TowneBank,1.16%,11.00%,-1.70%,0.17%,1.29%,0.61
TSQ,Townsquare Media Inc,3.87%,18.00%,-2.09%,-12.32%,-23.53%,0.79
TM,Toyota Motor Corp (ADR),-3.21%,1.00%,-8.28%,-6.04%,-7.51%,0.79
TPBA,TPB Acquisition Corporation I,0.10%,0.00%,-9.24%,-6.24%,0.00%,0
TPG,TPG Inc,14.31%,35.00%,19.23%,15.92%,0.00%,1.46
TPGY,TPG Pace Beneficial Finance Corp,0.10%,0.00%,-9.25%,-5.59%,-5.86%,0
YTPG,TPG Pace Beneficial II Corp,0.10%,0.00%,-9.70%,-6.44%,5.38%,0.01
TRTX,TPG RE Finance Trust Inc,-0.97%,6.00%,-4.36%,-6.90%,-15.94%,0.65
TPIC,TPI Composites Inc,52.93%,109.00%,85.82%,128.82%,-40.19%,1.42
TPTW,TPT Global Tech Inc,-1.69%,-6.00%,-16.87%,-31.38%,-49.49%,
TRAC,Track Data Corporation,0.00%,0.00%,-9.70%,-6.53%,-27.95%,
TRCK,Track Group Inc,0.00%,13.00%,1.95%,-40.52%,-80.29%,
TCON,TRACON Pharmaceuticals Inc,23.95%,14.00%,1.04%,8.69%,-41.98%,1.11
TSCO,Tractor Supply Co,0.72%,-5.00%,-12.09%,-6.17%,6.28%,0.93
TTD,Trade Desk Inc,48.39%,80.00%,51.81%,60.11%,-10.62%,2.69
UPTD,TradeUP Acquisition Corp,0.00%,0.00%,-9.34%,-6.16%,0.00%,-0.01
TW,Tradeweb Markets Inc,4.48%,6.00%,-5.76%,6.21%,-13.91%,0.77
COOK,Traeger Inc,23.46%,1.00%,-12.12%,-15.22%,-86.68%,1.72
TCOA,Trajectory Alpha Acquisition Corp,-0.10%,0.00%,-9.33%,-6.15%,0.00%,-0.02
TT,Trane Technologies PLC,4.67%,22.00%,11.77%,12.56%,-13.40%,0.95
TGGI,Trans Global Group Inc,50.79%,7.00%,-11.56%,-0.79%,344.94%,
TNLX,Trans-Lux Corporation,84.75%,-51.00%,-16.14%,-18.20%,-12.39%,
TEGY,TransAct Energy Corp,50.00%,-35.00%,-41.57%,-24.77%,131.84%,
TACT,TransAct Technologies Incorporated,2.97%,18.00%,2.61%,-16.05%,-69.70%,0.7
TAKD,TransAKT Ltd,-15.00%,-15.00%,-23.25%,-20.15%,10.24%,
TAC,TransAlta Corporation (USA),-12.40%,-15.00%,-21.23%,-11.38%,1.53%,0.22
TRNS,"Transcat, Inc.",8.39%,48.00%,31.07%,-0.18%,22.64%,0.86
RNAZ,Transcode Therapeutics Inc,12.60%,5.00%,-2.91%,-42.88%,-52.46%,1.02
TCI,Transcontinental Realty Investors Inc,5.23%,8.00%,-2.03%,3.36%,31.58%,0.38
TDG,TransDigm Group Incorporated,5.15%,24.00%,10.97%,9.07%,13.03%,1.17
TGA,TransGlobe Energy Corporation (USA),4.18%,-1.00%,-3.90%,-18.97%,101.38%,0.56
TMDX,TransMedics Group Inc,16.92%,39.00%,31.70%,74.25%,61.69%,2.3
RIG,Transocean LTD,-1.12%,39.00%,18.39%,-6.27%,5.68%,1.14
TGAN,Transphorm Technology Inc,12.13%,33.00%,25.44%,-22.82%,50.09%,0.41
TGS,Transportadora de Gas del Sur SA (ADR),4.06%,22.00%,6.80%,-8.40%,29.85%,0.74
TLSS,Transportation and Logistics Systems Inc,18.69%,11.00%,1.49%,-13.98%,-54.48%,
TRU,TransUnion,4.57%,-1.00%,-6.84%,-4.79%,-26.59%,1.09
TRIQ,Traqiq Inc,0.00%,-21.00%,-28.42%,-24.06%,-73.08%,
TNL,Travel + Leisure Co,2.00%,10.00%,0.39%,-14.19%,-7.55%,1.38
TA,Travelcenters of America Inc,4.85%,47.00%,33.42%,38.53%,42.53%,1.49
TRV,Travelers Companies Inc,4.36%,6.00%,-8.77%,-10.53%,12.75%,0.41
TZOO,Travelzoo,5.23%,-4.00%,-16.95%,-15.76%,-56.60%,0.93
TVTX,Travere Therapeutics Inc,18.71%,19.00%,3.19%,24.55%,114.14%,0.85
TMCI,Treace Medical Concepts Inc,2.05%,20.00%,9.48%,40.67%,-22.50%,1.66
TIG,Trean Insurance Group Inc,-8.61%,-9.00%,-18.37%,-22.27%,-62.01%,0.47
TGL,Treasure Global Inc,0.00%,0.00%,0.00%,0.00%,0.00%,
TG,Tredegar Corporation,8.67%,11.00%,2.32%,-8.34%,-10.65%,0.59
TCOR,"TreeCon Resources, Inc.",0.00%,-2.00%,-16.93%,-6.53%,3.14%,
THS,TreeHouse Foods Inc.,5.71%,6.00%,-4.42%,19.34%,25.78%,0.44
CANN,Trees Corp,-0.13%,-4.00%,-6.02%,-24.57%,-53.39%,
TREN,Trend Innovations Holding Inc,15.00%,21.00%,9.31%,4.87%,-48.06%,
TMICY,Trend Micro Incorporated (ADR),11.77%,23.00%,10.96%,8.52%,30.79%,
TRVN,Trevena Inc,6.76%,-33.00%,-39.38%,14.57%,-82.44%,1.05
TRVI,Trevi Therapeutics Inc,23.48%,25.00%,7.45%,101.10%,126.73%,1.22
TRXA,Trex Acquisition Corp,0.00%,0.00%,-45.82%,-43.92%,-36.13%,
TREX,Trex Company Inc,-9.75%,3.00%,-8.94%,-4.32%,-41.68%,1.67
TRCY,Tri City Bankshares Corporation,-3.78%,-4.00%,-13.12%,-8.91%,-12.76%,
TPH,Tri Pointe Homes Inc (Delaware),5.83%,-1.00%,-11.09%,-9.80%,-17.62%,1.25
TY,Tri-Continental Corporation,2.21%,9.00%,-0.54%,-2.46%,-10.42%,0.82
TBBC,Triad Business Bank,0.00%,-3.00%,0.00%,0.00%,0.00%,
XNDA,Tribal Rides International Corp,49.92%,0.00%,35.37%,40.12%,57.98%,
TCDA,Tricida Inc,27.66%,33.00%,20.70%,70.57%,242.04%,1.04
TCBK,TriCo Bancshares,1.93%,5.00%,-6.96%,3.92%,20.04%,0.51
TRS,TriMas Corp,-1.07%,11.00%,-1.24%,-1.31%,-6.51%,0.82
TMXN,Trimax Corp,-11.46%,-16.00%,-28.20%,15.14%,-38.01%,
TRMB,Trimble Inc,0.39%,23.00%,10.08%,6.33%,-17.11%,1.39
TRAQ,Trine II Acquisition Corp,0.00%,1.00%,-9.34%,-5.59%,0.00%,0.01
,TriNet Group Inc,6.29%,14.00%,3.21%,4.23%,6.42%,0.88
TRIB,Trinity Biotech plc (ADR),2.17%,4.00%,-7.74%,16.63%,-37.57%,0.78
TRIN,Trinity Capital Inc,5.15%,11.00%,-0.03%,-4.32%,11.86%,0.8
TRN,Trinity Industries Inc,4.69%,22.00%,11.79%,4.63%,-0.31%,0.95
TPHS,Trinity Place Holdings Inc,-8.55%,-3.00%,-6.20%,-15.47%,-47.06%,0.75
TSE,Trinseo PLC,-9.71%,-23.00%,-28.09%,-33.14%,-38.56%,1.38
TRT,Trio-Tech International,-2.09%,18.00%,7.15%,4.42%,21.14%,0.91
TCOM,Trip.com Group Ltd (ADR),-3.43%,-1.00%,-12.30%,18.58%,8.55%,1.37
TRIP,Tripadvisor Inc,29.25%,51.00%,32.25%,6.68%,-23.37%,1.34
TPVG,Triplepoint Venture Growth BDC Corp,-1.86%,8.00%,-4.19%,-12.70%,-6.65%,0.68
TRIS,Tristar Acquisition I Corp,-0.80%,0.00%,-9.43%,-6.25%,0.00%,0
TRIRF,Triterras Inc,7.61%,10.00%,5.17%,-18.83%,-81.00%,
DCFC,Tritium Dcfc Ltd,12.69%,30.00%,19.96%,-5.63%,-22.12%,1.28
TRTN,Triton International Ltd,3.48%,19.00%,10.44%,4.03%,30.31%,1.02
.TBK,Triumph Bancorp Inc,0.69%,16.00%,5.11%,0.35%,-7.40%,1.38
TGI,Triumph Group Inc,1.73%,11.00%,2.25%,-31.31%,-19.96%,1.68
TRVG,Trivago NV - ADR,10.39%,19.00%,5.14%,-1.31%,-39.27%,1.06
TRKA,Troika Media Group Inc,-3.54%,21.00%,0.76%,80.84%,-60.28%,0.19
TGRP,Tron Group Inc,0.00%,-6.00%,-24.75%,-43.92%,-60.48%,
TROX,Tronox Holdings PLC,-2.29%,0.00%,-9.94%,-13.99%,-10.45%,1.35
TROO,TROOPS Inc,-6.18%,9.00%,-3.76%,-25.29%,-63.63%,1.11
TREP,Trucept Inc,-5.08%,-10.00%,-27.76%,-43.92%,-45.22%,
TBI,Trueblue Inc,0.33%,19.00%,5.25%,-16.82%,-15.46%,0.93
TRUE,TrueCar Inc,-1.57%,-1.00%,-13.49%,-22.57%,-35.80%,0.92
THST,Truett-Hurst Inc,0.00%,-18.00%,-26.10%,-24.19%,-51.34%,
TFC,Truist Financial Corp,0.99%,7.00%,-0.32%,1.55%,-7.46%,0.82
TRUHY,Truly International Holdings Ltd. (ADR),0.00%,0.00%,0.00%,0.00%,0.00%,
TRUP,Trupanion Inc,6.40%,17.00%,4.73%,18.37%,-23.44%,2.11
TRST,TrustCo Bank Corp NY,1.98%,13.00%,1.93%,3.98%,5.72%,0.37
HEME,Trustfeed Corp,-6.25%,-9.00%,-17.91%,-22.11%,-88.38%,
TRMK,Trustmark Corp,0.64%,13.00%,0.58%,13.55%,12.41%,0.65
TRUX,Truxton Corp,0.00%,4.00%,0.00%,0.00%,0.00%,
TRX,TRX GOLD CORP,0.79%,42.00%,23.76%,59.44%,17.60%,
MEDS,Trxade Health Inc,-1.32%,-10.00%,-19.91%,7.96%,-68.60%,0.53
TNP,Tsakos Energy Navigation Ltd.,7.72%,41.00%,26.05%,15.68%,92.56%,0.54
TCRX,Tscan Therapeutics Inc,-5.32%,9.00%,-0.08%,69.69%,-60.39%,0.47
TSRI,TSR Inc,1.48%,13.00%,0.19%,16.21%,14.67%,0.24
TSSI,TSS Inc,0.00%,-9.00%,-5.90%,3.82%,17.93%,
TTEC,TTEC Holdings Inc,-20.81%,-6.00%,-15.86%,-6.11%,-38.26%,1.12
TTMI,"TTM Technologies, Inc.",20.21%,37.00%,23.54%,9.12%,21.72%,0.98
TC,TuanChe Ltd (ADR),-0.99%,5.00%,-11.28%,-5.77%,-12.39%,0.06
TCX,Tucows Inc. (USA),14.02%,25.00%,8.12%,3.49%,-26.18%,1
TUEM,Tuesday Morning Corporation,53.43%,-7.00%,-14.00%,-52.00%,-91.04%,0.8
TUFN,Tufin Software Technologies Ltd,-0.65%,-2.00%,-11.57%,-8.17%,31.03%,0.11
TOUR,Tuniu Corp,-5.09%,-19.00%,-33.04%,74.02%,-48.60%,1.09
TUP,Tupperware Brands Corporation,19.31%,70.00%,55.09%,49.68%,-51.88%,1.54
TKC,Turkcell Iletisim Hizmetleri A.S. (ADR),6.78%,0.00%,-9.70%,-27.08%,-41.64%,0.63
TKGBY,Turkiye Garanti Bankasi AS (ADR),0.00%,10.00%,0.00%,0.00%,0.00%,
TMPM,Turmeric Acquisition Corp,0.15%,0.00%,-9.20%,-5.73%,8.04%,0.01
TVOG,Turner Venture Group Inc,3.57%,-17.00%,-45.44%,-24.71%,1.87%,
TPB,Turning Point Brands Inc,4.29%,-12.00%,-18.47%,-17.63%,-45.21%,0.42
TPTX,Turning Point Therapeutics Inc,-0.28%,0.00%,-9.57%,175.05%,20.60%,0.86
TRQ,Turquoise Hill Resources Ltd,0.88%,4.00%,-4.81%,-3.62%,83.05%,0.68
HEAR,Turtle Beach Corp,-26.80%,-25.00%,-32.38%,-37.30%,-63.77%,1.52
THCA,Tuscan Holdings Corp II,0.00%,0.00%,-9.53%,-6.44%,8.84%,0
TSP,Tusimple Holdings Inc,2.78%,17.00%,2.06%,32.88%,-68.14%,2.68
TPC,Tutor Perini Corp,-19.40%,-16.00%,-24.87%,-28.11%,-48.42%,0.68
TUXS,Tuxis Corp.,0.00%,0.00%,-9.70%,-21.69%,-9.26%,
TUYA,Tuya Inc (ADR),-2.17%,-15.00%,-22.23%,-15.46%,-90.54%,2.28
TWLV,Twelve Seas Investment Co II,0.10%,0.00%,-9.24%,-5.86%,7.12%,0
TWLO,Twilio Inc,-11.73%,2.00%,-8.49%,-12.98%,-75.22%,2.17
TWIN,"Twin Disc, Incorporated",8.17%,21.00%,9.79%,-28.33%,-30.22%,0.81
TRCA,Twin Ridge Capital Acquisition Corp,0.10%,0.00%,-9.33%,-6.15%,7.34%,0
VEEE,Twin Vee Powercats Co,3.43%,45.00%,33.07%,17.43%,-14.83%,0.3
TLCC,Twinlab Consolidated Holdings Inc,0.00%,0.00%,5.35%,-24.80%,-9.66%,
TWST,Twist Bioscience Corp,14.41%,28.00%,12.08%,84.83%,-46.04%,2.36
,Twitter Inc,8.37%,18.00%,9.17%,-9.90%,-28.71%,0.78
TWOA,Two,0.15%,1.00%,-9.24%,-5.96%,6.68%,0
TWOH,Two Hands Corp,-40.50%,100.00%,109.73%,20.17%,-93.46%,
TWO,Two Harbors Investment Corp,-3.23%,6.00%,-4.85%,-9.38%,-16.42%,0.81
TRVR,Two Rivers Financial Group Inc,0.00%,9.00%,0.00%,0.00%,0.00%,
TYL,"Tyler Technologies, Inc.",0.93%,23.00%,16.96%,14.08%,-8.26%,1.4
TYME,Tyme Technologies Inc,8.74%,13.00%,2.96%,35.02%,-68.53%,0.94
TYRA,Tyra Biosciences Inc,17.47%,14.00%,-6.19%,34.61%,0.00%,1.24
TSN,"Tyson Foods, Inc.",-9.37%,-3.00%,-13.69%,-17.77%,5.13%,0.49
TZPS,TZP Strategies Acquisition Corp,0.10%,0.00%,-9.24%,-5.67%,8.00%,0.01
USEG,U.S. Energy Corp.,-2.05%,-5.00%,-15.97%,-20.53%,-7.10%,0.23
GROW,"U.S. Global Investors, Inc.",0.48%,1.00%,-11.40%,-13.39%,-31.34%,0.97
UAPC,UAPC INC,-20.00%,0.00%,-12.82%,-18.22%,-93.43%,
USDR,UAS Drone Corp,0.00%,10.00%,-5.40%,-8.61%,-35.68%,
UBER,Uber Technologies Inc,8.65%,51.00%,37.76%,35.83%,-20.54%,1.67
UI,Ubiquiti Inc,2.83%,23.00%,14.66%,33.61%,9.27%,1.22
UBS,UBS Group AG (USA),1.97%,7.00%,0.53%,-3.72%,11.95%,1.06
UCASU,UC Asset LP,-65.31%,147.00%,-22.60%,-44.47%,-51.35%,
UCL,Ucloudlink Group Inc,-10.02%,-31.00%,-38.54%,-5.25%,-88.59%,0.92
UK,Ucommune International Ltd,4.67%,26.00%,11.63%,35.04%,-80.15%,1.33
UDMY,Udemy Inc,22.02%,43.00%,25.77%,27.70%,0.00%,1.22
UDR,"UDR, Inc.",6.52%,10.00%,0.06%,-3.10%,-3.58%,0.63
UFPI,Ufp Industries Inc,-2.43%,23.00%,9.42%,8.82%,24.70%,0.86
UFPT,"UFP Technologies, Inc.",0.87%,20.00%,6.61%,17.26%,49.02%,0.69
UGI,UGI Corp,-6.39%,0.00%,-8.09%,-0.71%,-9.79%,0.65
RGLG,UHF Logistics Group Inc,85.00%,48.00%,53.70%,23.51%,167.06%,
PATH,UiPath Inc,4.10%,16.00%,3.70%,43.02%,-64.53%,2.35
ULTA,Ulta Beauty Inc,2.30%,-1.00%,-10.00%,-5.16%,11.13%,1.27
UCTT,Ultra Clean Holdings Inc,-6.68%,6.00%,-1.92%,3.36%,-27.18%,1.7
RARE,Ultragenyx Pharmaceutical Inc,-2.69%,-19.00%,-28.45%,-4.18%,-40.14%,1.12
ULBI,Ultralife Corp.,3.45%,12.00%,0.10%,-0.74%,-38.98%,0.71
UGP,Ultrapar Participacoes SA (ADR),9.38%,26.00%,12.37%,10.43%,-11.65%,1.16
UMHL,Umatrin Holding Ltd,0.00%,-11.00%,-19.63%,-55.89%,-69.75%,
UMBF,UMB Financial Corp,3.56%,12.00%,-0.49%,-0.74%,6.21%,0.71
UMH,"UMH Properties, Inc",-6.39%,1.00%,-8.67%,-5.66%,-12.49%,0.65
UMPQ,Umpqua Holdings Corp,4.56%,10.00%,-1.01%,3.21%,-2.93%,0.92
UAA,Under Armour Inc,4.61%,17.00%,3.32%,-8.59%,-59.84%,1.73
UNEX,Unex Holdings Inc,0.00%,0.00%,-0.67%,101.60%,131.84%,
UNICY,Unicharm Corp - ADR,3.38%,6.00%,-5.52%,5.91%,-11.20%,
UNAM,Unico American Corporation,7.61%,3.00%,-6.39%,-25.38%,-51.52%,-0.32
UNCY,Unicycive Therapeutics Inc,0.92%,-7.00%,-17.75%,-3.05%,-72.38%,0.26
UFI,"Unifi, Inc.",4.13%,9.00%,-0.14%,0.70%,-33.45%,0.88
UNF,UniFirst Corp,-0.30%,9.00%,-2.04%,11.11%,-5.42%,0.65
UL,Unilever plc (ADR),-0.86%,5.00%,-5.58%,1.12%,-10.70%,0.47
UNB,"Union Bankshares, Inc.",-2.59%,-2.00%,-13.58%,-12.79%,-19.89%,0.05
UELMO,Union Electric Co,0.00%,-2.00%,-11.74%,-8.87%,-13.16%,
UNP,Union Pacific Corporation,4.49%,13.00%,2.99%,-1.57%,12.06%,0.62
UFAB,Unique Fabricating Inc,13.30%,18.00%,10.49%,-14.97%,-52.24%,0
UNQL,Unique Logistics International Inc,-6.52%,-4.00%,-3.73%,-7.25%,-72.81%,
QURE,Uniqure NV,-20.58%,-14.00%,-25.50%,38.81%,-30.52%,1.68
UNIR,Uniroyal Global Engineered Products Inc,2.86%,-5.00%,-16.11%,-15.88%,14.10%,
UIS,Unisys Corporation,-23.56%,-16.00%,-23.38%,-12.61%,-52.67%,1.05
UNTC,Unit Corp,1.72%,17.00%,3.45%,-2.66%,245.41%,
UAL,United Airlines Holdings Inc,0.16%,2.00%,-7.84%,-16.25%,-14.49%,1.72
UBCP,"United Bancorp, Inc.",-1.73%,2.00%,-10.23%,-14.87%,14.67%,0.24
UBAB,United Bancorporation of Alabama Inc,3.51%,12.00%,6.34%,-4.92%,5.92%,
UBOH,United Bancshares Inc. OH,-1.28%,-11.00%,-25.80%,-31.00%,-25.64%,0.19
UBSI,"United Bankshares, Inc.",1.14%,14.00%,2.23%,7.09%,15.46%,0.63
UCPA,United Communications Partners Inc,-1.79%,-10.00%,-14.37%,-12.87%,-47.07%,
UCBI,"United Community Banks, Inc.",1.26%,15.00%,2.75%,9.70%,18.97%,0.8
UNRG,United Energy Corp.,-15.54%,-8.00%,-2.43%,44.74%,72.24%,
UNXP,United Express Inc,100.00%,0.00%,-39.80%,-37.69%,-78.92%,
UFCS,"United Fire Group, Inc.",-10.87%,-11.00%,-22.93%,-8.91%,12.50%,0.52
UEEC,United Health Products Inc,-10.67%,-25.00%,-31.87%,-49.93%,-61.26%,
UIHC,United Insurance Holdings Corp,21.99%,-17.00%,-18.80%,-27.23%,-69.52%,0.56
USEA,United Maritime Corp,-4.04%,-14.00%,-46.88%,0.00%,0.00%,
UMC,United Microelectronics Corp (ADR),4.62%,5.00%,-3.96%,-16.94%,-31.69%,1.34
UNFI,United Natural Foods Inc,1.33%,7.00%,-0.50%,1.22%,36.88%,0.94
UOVEY,United Overseas Bank Ltd (ADR),-2.08%,8.00%,-3.42%,-7.91%,6.15%,
UPS,"United Parcel Service, Inc.",4.63%,11.00%,2.71%,6.59%,11.88%,0.84
URI,"United Rentals, Inc.",3.26%,30.00%,17.96%,9.15%,1.48%,1.32
UBFO,United Security Bancshares,-1.65%,0.00%,-9.32%,-11.37%,-7.68%,0.21
USL,United States 12 Month Oil Fund LP,0.00%,3.00%,0.00%,0.00%,0.00%,0.01
UAMY,United States Antimony Corporation,13.05%,28.00%,13.18%,32.67%,-50.14%,0.48
USBL,United States Basketball League Inc,-14.00%,32.00%,2.18%,-8.66%,-18.35%,
BNO,United States Brent Oil Fund LP,0.00%,0.00%,0.00%,0.00%,0.00%,0.01
USM,United States Cellular Corp,3.46%,5.00%,-5.16%,-1.46%,2.13%,0.4
USLM,United States Lime & Minerals Inc,7.25%,5.00%,-6.83%,-1.40%,-21.36%,0.56
UNG,"United States Natural Gas Fund, LP",0.00%,17.00%,0.00%,0.00%,0.00%,0.31
X,United States Steel Corporation,10.35%,41.00%,25.23%,-5.25%,-6.72%,1.31
UTHR,United Therapeutics Corporation,-3.08%,-7.00%,-15.55%,15.34%,14.22%,0.47
UUGRY,United Utilities Group PLC (ADR),1.48%,8.00%,-2.68%,-3.98%,-3.73%,
UG,"United-Guardian, Inc.",1.92%,15.00%,6.07%,-21.33%,10.92%,0.45
UNH,UnitedHealth Group Inc,-0.54%,2.00%,-3.13%,3.38%,37.61%,0.64
UNIT,Uniti Group Inc,-0.69%,11.00%,-2.80%,-8.07%,-17.87%,1.04
UTL,Unitil Corporation,0.83%,-7.00%,-13.69%,-5.19%,16.60%,0.08
UTRX,Unitronix Corporation,0.22%,-17.00%,-30.84%,-28.41%,-49.83%,
UNTY,"Unity Bancorp, Inc.",1.59%,6.00%,-5.48%,-5.87%,27.01%,0.21
UBX,Unity Biotechnology Inc,34.72%,52.00%,23.75%,24.20%,-72.67%,1.73
U,Unity Software Inc,23.32%,65.00%,52.89%,71.42%,-45.35%,2.86
UNVR,Univar Solutions Inc,1.48%,9.00%,-1.26%,-12.12%,14.46%,1.05
UNVC,Univec Conglomerate Inc,-7.65%,19.00%,20.17%,-39.42%,-81.18%,
UVV,Universal Corp,-4.91%,-5.00%,-13.03%,-18.10%,7.47%,0.32
OLED,Universal Display Corporation,2.13%,14.00%,3.64%,-0.99%,-36.39%,1.73
UEIC,Universal Electronics Inc,-15.41%,2.00%,-10.62%,-14.07%,-46.89%,0.89
UVSE,Universal Energy Corp.,0.00%,0.00%,"8,929.84%","9,246.69%",-47.31%,
UHT,Universal Health Realty Income Trust,2.82%,5.00%,-3.76%,5.93%,-2.91%,0.45
UHS,"Universal Health Services, Inc.",1.33%,9.00%,-0.33%,-13.61%,-19.31%,0.96
UVE,"Universal Insurance Holdings, Inc.",-0.24%,0.00%,-9.77%,-6.46%,-9.64%,0.26
ULH,Universal Logistics Holdings Inc,10.24%,57.00%,38.01%,58.58%,92.49%,0.84
UPIN,Universal Power Industry Corp,3.85%,-17.00%,-24.98%,-12.98%,-56.23%,
UUU,"Universal Security Instruments, Inc.",22.22%,30.00%,17.20%,39.60%,-27.43%,1.29
