Symbol,Company Name,P/E Ratio (TTM)*,PEG Ratio,Price/Sales Ratio,Price/Book Ratio,Price/Cash Flow,Debt to Capital,Return on Equity,Return on Assets
MET,Metlife Inc,16.43x,2.41423,0.77x,1.42x,0.00x,31.31x,6.41%,0.50%
WOWI,"Metro One Telecommunications, Inc",--,,2.47x,0.00x,0.00x,0.00x,-839.58%,-46.97%
MCBS,Metrocity Bankshares Inc,7.47x,,3.49x,1.60x,7.11x,0.00x,23.79%,2.46%
MCB,Metropolitan Bank Holding Corp,10.69x,,3.84x,1.47x,10.23x,0.00x,16.34%,1.22%
MTD,Mettler-Toledo International Inc.,37.94x,3.37279,7.84x,4173.98x,32.50x,99.63x,826.06%,25.33%
MXC,Mexco Energy Corporation,14.28x,,6.06x,3.31x,9.51x,0.00x,27.13%,23.68%
MXE,Mexico Equity and Income Fund Inc,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MXF,Mexico Fund Inc,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MXSG,Mexus Gold US,--,,0.00x,0.00x,0.00x,8149.79x,0.00%,-235.68%
MFA,"MFA Financial, Inc.",--,,5.49x,0.57x,0.00x,76.87x,-1.73%,-0.08%
MCR,MFS Charter Income Trust,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MGF,MFS Government Markets Income Trust,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
CXE,MFS High Income Municipal Trust,--,,13.15x,0.91x,0.00x,40.52x,-13.07%,-7.90%
CMU,MFS High Yield Municipal Trust,--,,12.83x,0.87x,0.00x,39.15x,-13.07%,-8.09%
CIF,MFS Intermediate High Income Fund,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MIN,MFS Intermediate Income Trust,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
CXH,MFS Investment Grade Municipal Trust,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MMT,MFS Multimarket Income Trust,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MFM,MFS Municipal Income Trust,--,,15.29x,0.92x,0.00x,0.00x,-11.55%,-8.13%
MFV,MFS Special Value Trust,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MGEE,"MGE Energy, Inc.",28.95x,,4.50x,2.85x,16.16x,37.51x,10.10%,4.40%
MTG,MGIC Investment Corp.,6.33x,2.01828,3.79x,0.98x,5.44x,16.72x,15.94%,10.67%
MGM,MGM Resorts International,4.83x,0.15317,1.14x,2.40x,3.17x,53.81x,53.62%,7.14%
MGPI,MGP Ingredients Inc,20.58x,1.3723,3.26x,3.40x,17.15x,24.81x,18.16%,11.13%
MGTI,MGT Capital Investments Inc.,--,,6.16x,25.77x,0.00x,21.34x,-446.53%,-94.54%
MAJJ,Michael Anthony Holdings Inc,--,,114.01x,0.20x,0.00x,34.49x,-7.85%,-4.21%
MFGP,Micro Focus International PLC - ADR,--,,0.44x,0.46x,1.61x,61.55x,-8.55%,-2.45%
FHAI,Microalliance Group Inc,102.53x,,46.18x,58.34x,94.07x,0.00x,118.19%,101.68%
MBOT,Microbot Medical Inc,--,,0.00x,3.19x,0.00x,0.00x,-71.36%,-64.01%
MCHP,Microchip Technology Inc.,25.92x,8.36064,5.41x,6.53x,14.62x,55.86x,26.79%,9.48%
MICR,Micron Solutions Inc,--,,0.52x,3.83x,0.00x,70.66x,-68.08%,-20.38%
MU,"Micron Technology, Inc.",7.00x,,2.09x,1.38x,4.04x,12.38x,21.66%,16.32%
MPAD,"Micropac Industries, Inc.",13.99x,,1.46x,1.28x,12.41x,26.05x,9.57%,7.40%
MSFT,Microsoft Corporation,29.98x,2.06767,10.88x,12.96x,24.73x,27.97x,47.15%,20.82%
MSTR,MicroStrategy Incorporated,--,,7.53x,0.00x,0.00x,108.55x,0.00%,-50.81%
MVST,Microvast Holdings Inc,--,,27.35x,1.29x,0.00x,19.29x,0.00%,0.00%
MVIS,"Microvision, Inc.",--,,481.48x,9.92x,0.00x,0.04x,-43.74%,-39.39%
MFCO,"Microwave Filter Co., Inc",--,,0.00x,0.95x,0.00x,0.00x,0.00%,0.00%
MICT,MICT Inc,--,,1.65x,0.65x,0.00x,0.81x,-27.10%,-23.54%
MPB,"Mid Penn Bancorp, Inc.",12.39x,,3.16x,0.95x,11.86x,0.00x,8.12%,0.87%
MAA,Mid-America Apartment Communities Inc,36.30x,3.36109,11.30x,3.56x,18.69x,42.19x,9.85%,5.39%
MSVB,Mid-Southern Bancorp Inc,21.50x,,4.71x,0.00x,28.03x,0.00x,0.00%,0.00%
MTP^H12,Midatech Pharma PLC-ADR,--,,17.89x,1.13x,0.00x,6.83x,-63.60%,-48.04%
MIDD,Middleby Corp,17.78x,,2.22x,3.39x,13.30x,52.72x,21.02%,7.96%
MBCN,Middlefield Banc Corp,8.99x,,2.89x,1.22x,7.77x,0.00x,13.10%,1.35%
MSEX,Middlesex Water Company,41.39x,,10.93x,4.24x,24.07x,46.78x,10.68%,3.87%
MCPH,Midland Capital Holdings Corp,7.03x,,0.72x,0.26x,4.94x,0.00x,3.77%,0.42%
MSBI,Midland States Bancorp Inc,6.66x,,2.02x,0.95x,5.66x,0.00x,14.37%,1.33%
MEEC,Midwest Energy Emissions Corp,--,,1.89x,0.00x,0.00x,914.34x,0.00%,-53.08%
MDWT,Midwest Holding Inc,--,,1.59x,0.74x,0.00x,0.00x,-20.29%,-1.28%
MOFG,Midwestone Financial Group Inc (IOWA),8.93x,,2.52x,1.04x,7.94x,0.00x,11.20%,0.94%
MIST,Milestone Pharmaceuticals Inc,--,,12.91x,1.92x,0.00x,0.00x,-38.11%,-36.31%
MLSS,Milestone Scientific Inc.,--,,7.74x,5.20x,0.00x,0.18x,-45.46%,-38.61%
MCVT,Mill City Ventures III Ltd,22.57x,,12.16x,3.07x,34.83x,27.81x,11.01%,8.43%
MLMN,"Millennium Prime, Inc.",--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MILC,Millennium Sustainable Ventures Corp,--,,0.00x,5.43x,0.00x,1.53x,0.00%,0.00%
MLR,"Miller Industries, Inc.",21.63x,,0.34x,0.93x,11.30x,12.18x,4.28%,2.68%
HIE,Miller/Howard High Income Equity Fund,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MLKN,MillerKnoll Inc,--,,0.60x,1.66x,13.88x,47.87x,-2.37%,-0.60%
TIGO,Millicom International Cellular SA (USA),2.28x,,0.51x,0.74x,1.40x,68.43x,24.70%,5.03%
MMTRS,Mills Music Trust,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MDXG,MiMedx Group Inc,--,,1.85x,0.00x,0.00x,38.00x,0.00%,-12.07%
MNAO,Minaro Corp,--,,301.17x,0.00x,0.00x,634.19x,0.00%,-191.58%
MGHCF,Minco Capital Corp (USA),--,,0.00x,0.24x,0.00x,0.46x,-6.99%,-6.92%
MNDO,MIND C.T.I. Ltd.,8.11x,,1.82x,2.02x,7.82x,0.00x,25.39%,18.15%
MIND,Mind Technology Inc,--,,0.39x,0.40x,0.00x,0.00x,-59.40%,-34.60%
MNBEY,Minebea Mitsumi Inc (ADR),0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
RITE,MineralRite Corp,--,,8.03x,0.00x,0.00x,0.00x,0.00%,-274.04%
MTX,Minerals Technologies Inc,12.33x,4.56582,1.02x,1.34x,7.73x,39.97x,11.28%,5.18%
NERV,Minerva Neurosciences Inc,--,,0.00x,0.00x,0.00x,0.00x,-227.90%,-55.76%
UTRS,Minerva Surgical Inc,--,,0.00x,1.95x,0.00x,52.98x,0.00%,0.00%
YGMZ,MingZhu Logistics Holdings Ltd,--,,3.86x,1.17x,134.11x,18.25x,-2.72%,-1.61%
MINM,Minim Inc,--,,0.33x,0.64x,0.00x,20.64x,-31.66%,-14.19%
MNSO,MINISO Group Holding Ltd - ADR,20.19x,,1.57x,1.79x,0.00x,8.84x,8.25%,5.11%
INKT,Mink Therapeutics Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MEOA,Minority Equality Opportunts Acqstn Inc,--,,0.00x,1.29x,0.00x,0.00x,0.00%,0.00%
MRGE,Mirage Energy Corp,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MRTX,Mirati Therapeutics Inc,--,,59.09x,4.15x,0.00x,0.00x,-57.52%,-48.91%
MIR,Mirion Technologies Inc,--,,0.00x,1.01x,0.00x,32.81x,0.00%,0.00%
MIRO,Miromatrix Medical Inc,--,,1699.42x,1.20x,0.00x,1.13x,0.00%,-72.45%
MIRM,Mirum Pharmaceuticals Inc,--,,21.20x,7.36x,0.00x,0.00x,-51.44%,-19.49%
MF,Missfresh Ltd (ADR),--,,0.00x,0.45x,0.00x,57.24x,0.00%,0.00%
MACC,Mission Advancement Corp,24.14x,,0.00x,1.29x,0.00x,0.24x,5.51%,5.08%
AVO,Mission Produce Inc,46.05x,,1.13x,2.11x,23.44x,23.62x,4.81%,2.84%
MVLY,Mission Valley Bancorp,8.64x,,1.79x,1.06x,0.00x,0.00x,12.89%,1.08%
MCW,Mister Car Wash Inc,--,,4.60x,5.25x,86.41x,56.49x,-3.00%,-0.50%
MG,Mistras Group Inc,77.59x,,0.27x,0.97x,5.04x,52.38x,1.30%,0.46%
MITK,"Mitek Systems, Inc.",88.93x,5.92857,3.64x,2.89x,34.84x,41.70x,3.28%,1.50%
MITI,Mitesco Inc,--,,125.27x,0.00x,0.00x,274.83x,0.00%,-127.79%
MUFG,Mitsubishi UFJ Financial Group Inc (ADR),10.64x,,1.58x,0.54x,9.09x,0.00x,5.07%,0.25%
MITSY,Mitsui & Co Ltd (ADR),4.88x,,0.37x,0.83x,3.65x,46.50x,18.87%,7.10%
MIXT,MiX Telematics Ltd - ADR,30.06x,,1.33x,1.56x,9.01x,5.11x,4.98%,3.51%
MFG,Mizuho Financial Group Inc. (ADR),7.02x,,1.42x,0.43x,4.05x,0.00x,6.39%,0.34%
MJHI,MJ Harvest Inc,--,,48.14x,38.62x,0.00x,86.79x,0.00%,-334.76%
MJNE,MJ Holdings Inc,--,,0.00x,8.88x,0.00x,33.20x,-114.89%,-49.12%
MKSI,"MKS Instruments, Inc.",11.64x,-8.25566,2.15x,2.07x,9.70x,20.66x,19.35%,12.40%
MMEX,MMEX Resources Corp,0.09x,,0.00x,0.00x,0.00x,0.00x,0.00%,-21.38%
MTC^K10,MMTec Inc,--,,13.16x,0.64x,0.00x,0.00x,-87.87%,-77.07%
MGAM,Mobile Global Esports Inc,--,,0.00x,345.27x,0.00x,0.00x,0.00%,0.00%
MOBO,Mobile Lads Corp,--,,4292.65x,21.54x,0.00x,18.30x,"-1,100.43%",-542.49%
MOST,MobileSmith Inc,--,,42.06x,0.00x,0.00x,1704.27x,0.00%,-473.88%
MOBQ,Mobiquity Technologies Inc,--,,4.19x,0.00x,0.00x,19.27x,0.00%,-288.76%
MOBVU,Mobiv Acquisition Corp,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MFON,Mobivity Holdings Corp,--,,7.56x,0.00x,0.00x,0.00x,0.00%,-127.88%
MODN,Model N Inc,--,,5.85x,9.40x,0.00x,49.89x,-20.91%,-7.32%
MPAC,Model Performance Acquisition Corp,--,,0.00x,1.39x,0.00x,0.00x,-3.68%,-3.43%
MRNA,Moderna Inc,5.31x,0.27527,2.96x,3.80x,4.75x,4.07x,113.86%,66.62%
MOD,Modine Manufacturing Co.,8.75x,,0.40x,1.91x,5.52x,46.47x,24.28%,7.11%
MDV,Modiv Inc,--,,3.20x,0.68x,8.41x,44.99x,-0.96%,-0.10%
MODV,ModivCare Inc,--,,0.70x,4.15x,33.07x,71.90x,-8.92%,-1.85%
MODD,Modular Medical Inc,--,,0.00x,5.47x,0.00x,0.00x,-492.82%,-308.12%
MC,Moelis & Co,9.83x,,2.16x,7.24x,8.30x,0.00x,76.49%,33.39%
MOGU,Mogu Inc - ADR,--,,0.36x,0.15x,0.00x,1.20x,-57.01%,-42.69%
MHK,"Mohawk Industries, Inc.",8.34x,-3.20714,0.67x,0.92x,5.06x,22.86x,11.35%,6.69%
MJDS,Mojo Digital Assets Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,-8.28%
MGYOY,MOL Magyar Olajes Gazipari Nyrt - ADR,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MOLN,Molecular Partners AG (ADR),--,,0.00x,0.77x,0.00x,2.13x,0.00%,0.00%
MTEM,Molecular Templates Inc,--,,1.09x,1.01x,0.00x,42.94x,-99.90%,-37.52%
MBRX,Moleculin Biotech Inc,--,,0.00x,0.67x,0.00x,0.00x,-22.73%,-20.51%
MOH,"Molina Healthcare, Inc.",25.69x,7.44727,0.63x,6.76x,21.22x,45.80x,28.92%,6.51%
TAP,Molson Coors Beverage Co,16.57x,-2.53758,1.14x,0.90x,8.34x,33.34x,5.55%,2.58%
MNTV,Momentive Global Inc,--,,2.48x,4.29x,0.00x,40.38x,-41.24%,-14.92%
MNTS,Momentus Inc,2.26x,,870.77x,1.72x,5.74x,17.00x,26.11%,17.34%
MCRI,"Monarch Casino & Resort, Inc.",16.01x,,2.77x,2.54x,10.26x,11.60x,17.97%,11.72%
MCEM,Monarch Cement Co,7.81x,,1.85x,1.52x,6.16x,0.00x,20.99%,17.52%
MNDY,Monday.Com Ltd,--,,15.50x,9.92x,0.00x,0.00x,-25.55%,-18.66%
MOND,Mondee Holdings Inc,72.00x,,0.00x,1.15x,558.91x,0.00x,1.61%,1.49%
MDLZ,Mondelez International Inc,23.39x,4.1358,2.96x,3.22x,20.47x,41.08x,14.03%,4.86%
MGI,Moneygram International Inc,--,,0.78x,0.00x,20.58x,130.76x,0.00%,-0.07%
MDB,Mongodb Inc,--,,26.50x,38.47x,0.00x,63.89x,-158.30%,-16.80%
SCTY,Monitronics International Inc,--,,0.02x,0.07x,0.22x,85.91x,-71.75%,-13.14%
MPWR,"Monolithic Power Systems, Inc.",76.35x,3.05418,16.61x,17.49x,67.20x,0.00x,26.74%,21.25%
MNPR,Monopar Therapeutics Inc,--,,0.00x,1.36x,0.00x,0.00x,-46.00%,-44.01%
MNRO,Monro Inc,30.28x,,1.21x,2.22x,11.94x,38.95x,7.58%,3.15%
MRCC,Monroe Capital Corp,7.28x,,3.63x,0.79x,0.00x,56.52x,10.91%,4.73%
MNST,Monster Beverage Corp,39.24x,3.32602,7.88x,6.95x,47.71x,0.00x,19.29%,16.08%
,Montauk Renewables Inc,252.78x,,14.91x,11.88x,71.78x,29.64x,4.95%,3.19%
GLUE,Monte Rosa Therapeutics Inc,--,,0.00x,1.25x,0.00x,0.00x,-64.55%,-32.52%
MTRY,Monterey Bio Acquisition Corp,--,,0.00x,1.24x,0.00x,0.00x,0.00%,0.00%
MCAC,Monterey Capital Acquisition Corp,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MEG^A17,Montrose Environmental Group Inc,--,,2.41x,4.17x,154.53x,27.45x,-16.99%,-3.00%
MON,Monument Circle Acquisition Corp,72.37x,,0.00x,1.30x,0.00x,0.00x,1.82%,1.70%
MCO,Moody's Corporation,34.86x,3.03167,9.92x,25.81x,29.26x,75.54x,77.05%,12.85%
MOG/A,Moog Inc,17.17x,2.11118,0.92x,2.02x,10.96x,38.15x,11.46%,4.70%
MLTX,MoonLake Immunotherapeutics,--,,0.00x,11.64x,0.00x,0.61x,-10.48%,-4.12%
MGHL,Morgan Group Holding Co,--,,0.52x,0.55x,0.00x,0.00x,-40.27%,-30.97%
MS,Morgan Stanley,12.02x,1.60482,2.56x,1.63x,8.79x,86.42x,13.59%,1.17%
CAF,"Morgan Stanley China A Share Fund, Inc.",--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MSD,Morgan Stanley Emerging Mkt Debt FundInc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
IIF,Morgan Stanley India Investment Fund Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MACA,Moringa Acquisition Corp,--,,0.00x,1.28x,0.00x,0.00x,-0.78%,-0.78%
MORN,"Morningstar, Inc.",61.53x,,6.02x,8.83x,32.73x,48.67x,14.03%,5.84%
MRCR,Moro Corp,13.57x,,0.12x,1.15x,5.51x,65.25x,7.77%,1.78%
MORF,Morphic Holding Inc,--,,17.05x,3.31x,0.00x,0.00x,-13.88%,-11.97%
MOR^L11,Morphosys Ag (ADR),--,,3.90x,0.00x,0.00x,109.02x,-296.68%,-41.67%
MBLU,Morris State Bancshares Inc,7.06x,,3.00x,1.15x,0.00x,0.00x,17.29%,1.86%
MOS,Mosaic Co,6.15x,-0.97823,1.13x,1.62x,4.60x,25.03x,29.47%,14.00%
CPMV,Mosaic Immunoengineering Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,-870.12%
MTVC,Motive Capital Corp II,--,,0.00x,1.25x,0.00x,0.00x,0.00%,0.00%
MPAA,"Motorcar Parts of America, Inc.",38.66x,,0.43x,0.88x,14.92x,36.02x,2.39%,0.79%
MSI,Motorola Solutions Inc,36.45x,3.56383,4.99x,0.00x,25.62x,107.70x,0.00%,10.59%
MSGM,Motorsport Games Inc,--,,0.80x,0.59x,0.00x,0.53x,-87.22%,-71.50%
MOTS,Motus GI Holdings Inc,--,,29.90x,1.25x,0.00x,57.08x,-136.95%,-68.20%
MOTUY,Motus Holdings Ltd - ADR,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
RNER,Mount Rainier Acquisition Corp,--,,0.00x,1.31x,0.00x,0.00x,0.00%,0.00%
MCAA,Mountain & I Acquisition Co Corp,--,,0.00x,1.27x,0.00x,0.05x,0.00%,0.00%
MCBI,Mountain Commerce Bancorp Inc,9.07x,,3.73x,1.59x,0.00x,0.00x,17.33%,1.49%
MCAE,Mountain Crest Acquisition Corp III,--,,0.00x,1.34x,0.00x,0.00x,-1.90%,-1.83%
MCAF,Mountain Crest Acquisition Corp IV,--,,0.00x,1.34x,0.00x,0.00x,-1.47%,-1.41%
MCAG,Mountain Crest Acquisition Corp V,--,,0.00x,1.33x,0.00x,0.00x,0.00%,0.00%
MOV,"Movado Group, Inc",8.49x,,1.07x,1.78x,7.14x,0.00x,22.72%,14.23%
MOVE,Movano Inc,--,,0.00x,3.61x,0.00x,0.00x,-62.58%,-58.44%
MITQ,Moving Image Technologies Inc,--,,0.91x,1.32x,0.00x,0.00x,-13.13%,-4.73%
MOXC,Moxian (BVI) Inc,--,,36.39x,10.63x,0.00x,0.00x,-152.98%,-94.01%
MP,Mp Materials Corp,29.50x,,13.44x,5.84x,25.07x,36.63x,24.12%,12.79%
XDSL,"mPhase Technologies, Inc.",--,,0.04x,0.10x,0.00x,26.07x,-11.32%,-5.21%
MPLX,MPLX LP,10.08x,2.25717,2.95x,2.83x,7.13x,63.07x,27.46%,9.41%
COOP,Mr Cooper Group Inc,2.81x,,1.04x,0.81x,2.45x,64.94x,34.15%,7.12%
MRC,MRC Global Inc,--,,0.30x,2.47x,36.39x,30.39x,-5.56%,0.28%
EDD,Mrgn Stnly Emrgng Mrkts Dmtc Dbt Fnd Inc,--,,9.92x,0.85x,0.00x,20.23x,-17.41%,-13.89%
MSYN,Ms Young Adventure Enterprise Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MSADY,Ms&Ad Insurance Group Holding Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MSA,MSA Safety Inc,117.50x,,3.42x,5.95x,50.04x,42.65x,5.14%,1.97%
MSM,MSC Industrial Direct Co Inc,15.62x,,1.35x,3.63x,12.67x,37.65x,24.71%,11.98%
MSCI,Msci Inc,52.69x,3.3995,18.92x,0.00x,45.31x,129.45x,0.00%,16.68%
MSDA,MSD Acquisition Corp,109.89x,,0.00x,1.32x,70.57x,0.00x,1.20%,1.12%
MSPR,MSP Recovery Inc,--,,0.00x,0.30x,0.00x,0.74x,-1.62%,-1.44%
MTNOY,MTN Group Ltd - ADR,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MYTG,Mu Yan Technology Group Co Ltd,--,,5097.61x,527.52x,0.00x,0.00x,-57.01%,-44.88%
MUDS,Mudrick Capital Acquisition Corp II,--,,0.00x,1.38x,0.00x,0.00x,-0.12%,-0.11%
MLI,"Mueller Industries, Inc.",5.80x,,0.93x,2.54x,5.45x,0.15x,53.86%,34.31%
MWA,"Mueller Water Products, Inc.",21.14x,1.76206,1.52x,2.61x,12.42x,38.84x,12.67%,5.87%
MURGY,Muenchener Rungs Ghft in Mnhn AG - ADR,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MULN,Mullen Automotive Inc,--,,0.00x,4.74x,0.00x,30.83x,-415.83%,-170.14%
MPLN,Multiplan Corp,17.78x,,2.40x,1.17x,4.98x,67.00x,6.77%,1.94%
MYBF,Muncy Bank Financial Inc,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MURF,Murphy Canyon Acquisition Corp,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MUR,Murphy Oil Corporation,10.25x,,1.75x,1.22x,3.71x,33.58x,12.62%,6.50%
MUSA,Murphy USA Inc,13.03x,,0.31x,8.70x,8.65x,70.36x,72.14%,13.37%
GRIL,Muscle Maker Inc,--,,0.00x,0.56x,0.00x,4.97x,0.00%,0.00%
,MusclePharm Corp,--,,0.13x,0.00x,0.00x,0.00x,0.00%,-175.69%
TMAC,Music Acquisition Corp,49.92x,,0.00x,1.30x,0.00x,0.13x,2.64%,2.46%
MBIO,Mustang Bio Inc,--,,0.00x,0.76x,0.00x,21.71x,-61.73%,-51.08%
MFDB,Mutual Federal Bancorp Inc (Illinois),--,,3.03x,0.32x,0.00x,0.00x,-6.75%,-2.31%
MVO,MV Oil Trust,8.78x,,8.19x,17.32x,0.00x,0.00x,173.35%,173.35%
MVBF,MVB Financial Corp,15.90x,,2.80x,1.66x,13.55x,0.00x,11.02%,0.94%
MYE,"Myers Industries, Inc.",15.89x,,0.89x,3.23x,11.09x,32.39x,22.00%,9.82%
MYMD,MyMD Pharmaceuticals Inc,--,,0.00x,9.50x,0.00x,0.00x,-117.22%,-106.62%
MYMX,Mymetics Corp,--,,22.06x,0.00x,0.00x,988.13x,0.00%,-61.55%
MYO,Myomo Inc,--,,0.78x,0.91x,0.00x,0.00x,-75.10%,-52.58%
MYOV,Myovant Sciences Ltd,--,,5.51x,0.00x,0.00x,0.00x,0.00%,-27.87%
MYRG,MYR Group Inc,19.81x,,0.62x,3.06x,11.81x,10.12x,16.80%,7.28%
MYGN,"Myriad Genetics, Inc.",--,,3.29x,2.34x,61.70x,0.00x,-1.90%,-1.37%
MSTH,Mystic Holdings Inc,--,,0.00x,10.44x,0.00x,18.49x,0.00%,0.00%
MYTE,MYT Netherlands Parent BV-ADR,--,,1.86x,2.95x,0.00x,5.03x,-4.40%,-3.31%
NABL,N-Able Inc,194.46x,,5.24x,3.00x,48.52x,35.36x,1.54%,0.90%
NETC,Nabors Energy Transition Corp,--,,0.00x,0.00x,0.00x,0.00x,-0.35%,-0.34%
NBR,Nabors Industries Ltd.,--,,0.52x,2.59x,6.23x,67.00x,-80.72%,-9.54%
NBRV,Nabriva Therapeutics PLC - ADR,--,,0.36x,0.35x,0.00x,17.10x,-89.80%,-62.02%
NC,"NACCO Industries, Inc.",3.87x,,1.48x,0.80x,3.01x,4.38x,22.95%,16.14%
NLSC,Namliong SkyCosmos Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
NNDM,Nano Dimension Ltd - ADR,--,,44.16x,0.65x,0.00x,0.96x,-16.10%,-15.62%
NA,Nano Labs Ltd (ADR),--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
NMGX,Nano Magic Holdings Inc,--,,0.77x,1.64x,0.00x,19.36x,-122.04%,-58.09%
NNOX,Nano-X Imaging Ltd,--,,235.47x,2.65x,0.00x,1.38x,-28.17%,-23.91%
NNMX,Nanomix Corp,--,,0.00x,0.00x,0.00x,0.00x,0.00%,"-1,836.35%"
NANX,Nanophase Technologies Corporation,144.57x,,4.85x,19.11x,94.85x,38.17x,18.12%,4.41%
NSTG,NanoString Technologies Inc,--,,5.18x,5.14x,0.00x,60.82x,-66.57%,-26.32%
NAOV,NanoVibronix Inc,--,,9.98x,3.54x,0.00x,0.00x,-218.55%,-129.07%
NNVC,NanoViricides Inc,--,,0.00x,1.44x,0.00x,0.66x,-29.66%,-29.01%
NH,NantHealth Inc,--,,1.02x,0.00x,0.00x,281.68x,0.00%,-28.60%
NSSC,Napco Security Technologies Inc,52.93x,,6.84x,8.76x,48.00x,0.00x,18.14%,13.99%
NRGSP,Narragansett Electric Co,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
NASB,"NASB Financial, Inc.",10.77x,,2.28x,1.06x,0.00x,0.00x,9.84%,1.64%
NBIO,Nascent Biotech Inc,--,,47.16x,0.00x,247.26x,0.00x,0.00%,-109.80%
NDAQ,Nasdaq Inc,27.56x,3.85864,5.17x,5.23x,21.56x,49.42x,18.21%,5.60%
NPSNY,Naspers Limited (ADR),4.19x,,8.01x,1.57x,3.38x,24.31x,49.11%,29.63%
NTRA,Natera Inc,--,,7.41x,12.05x,0.00x,42.69x,-154.79%,-60.05%
NATH,"Nathan's Famous, Inc.",15.95x,,1.92x,0.00x,14.82x,188.22x,0.00%,15.16%
NAUH,National American University Holdngs Inc,--,,0.05x,0.00x,0.00x,142.49x,-187.19%,-18.64%
REPO,National Asset Recovery Corp,--,,64.73x,0.00x,0.00x,0.00x,-595.01%,-316.87%
NABZY,National Australia Bank Ltd. (ADR),15.25x,1.54013,5.47x,1.61x,12.16x,0.00x,11.11%,0.74%
NBHC,National Bank Holdings Corp,15.97x,,4.42x,1.56x,13.49x,0.00x,9.74%,1.14%
NKSH,National Bankshares Inc.,9.41x,,3.83x,1.46x,12.17x,0.00x,13.11%,1.27%
FIZZ,National Beverage Corp.,32.27x,,4.48x,20.87x,28.81x,11.13x,52.37%,30.93%
NCMI,"National CineMedia, Inc.",--,,0.66x,0.00x,0.00x,162.57x,0.00%,-10.25%
NESR,National Energy Services Reunited Corp,16.13x,,0.69x,0.61x,3.70x,30.63x,3.94%,2.20%
NFG,National Fuel Gas Co.,13.11x,,3.06x,3.22x,7.55x,60.20x,24.65%,6.46%
NGRC,National Graphite Corp,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
NGG,National Grid plc (ADR),19.15x,11.26632,2.28x,1.76x,10.36x,65.59x,9.99%,2.69%
NHI,National Health Investors Inc,44.02x,6.47326,10.52x,2.08x,20.29x,43.87x,4.58%,2.37%
NHC,National HealthCare Corporation,34.95x,,0.98x,1.21x,15.47x,0.90x,3.43%,2.13%
NATI,National Instruments Corp,50.89x,,3.39x,4.55x,26.57x,28.90x,8.75%,5.26%
NPK,National Presto Industries Inc.,26.75x,,1.56x,1.58x,23.20x,0.00x,5.85%,5.00%
NRC^E13,National Research Corporation,25.03x,,5.79x,12.81x,21.18x,26.26x,49.84%,25.10%
NNN,"National Retail Properties, Inc.",28.11x,7.20772,11.36x,2.17x,16.55x,49.17x,7.62%,4.08%
NSA,National Storage Affiliates Trust,55.89x,,7.30x,3.40x,14.04x,55.68x,7.50%,3.66%
EYE,National Vision Holdings Inc,24.87x,1.80222,1.28x,2.80x,12.44x,37.46x,12.51%,4.85%
NWLI,National Western Life Group Inc,4.78x,,1.02x,0.32x,4.40x,0.00x,6.52%,1.09%
NAII,"Natural Alternatives International, Inc.",6.21x,,0.40x,0.76x,4.33x,10.39x,13.12%,8.32%
NGS,"Natural Gas Services Group, Inc.",--,,1.68x,0.53x,7.46x,0.00x,-3.49%,-2.81%
